Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,home_win,implied_home_prob_vig,implied_away_prob_vig,vig,market_home_prob
2007-10-30,San Antonio Spurs,Portland Trail Blazers,184.0,12.5,-1400.0,900.0,203,9,10,10,1,0.9333333333333333,0.1,0.03333333333333344,0.9032258064516129
2007-10-30,Golden State Warriors,Utah Jazz,214.5,3.0,-120.0,100.0,213,-21,10,10,0,0.5454545454545454,0.5,0.045454545454545414,0.5217391304347826
2007-10-30,Los Angeles Lakers,Houston Rockets,191.0,2.5,190.0,-230.0,188,-2,10,10,0,0.3448275862068966,0.696969696969697,0.04179728317659359,0.33099297893681046
2007-10-31,Denver Nuggets,Seattle SuperSonics,213.0,10.5,-825.0,625.0,223,17,10,10,1,0.8918918918918919,0.13793103448275862,0.02982292637465056,0.8660633484162895
2007-10-31,Memphis Grizzlies,San Antonio Spurs,198.0,7.0,210.0,-250.0,205,-3,10,1,0,0.3225806451612903,0.7142857142857143,0.03686635944700467,0.31111111111111106
2007-10-31,Cleveland Cavaliers,Dallas Mavericks,186.0,3.0,120.0,-140.0,166,-18,10,10,0,0.45454545454545453,0.5833333333333334,0.037878787878787845,0.43795620437956206
2007-10-31,New Orleans Pelicans,Sacramento Kings,193.0,10.0,-525.0,425.0,194,14,10,10,1,0.84,0.19047619047619047,0.030476190476190546,0.8151571164510165
2007-10-31,Orlando Magic,Milwaukee Bucks,198.5,8.0,-295.0,245.0,185,19,10,10,1,0.7468354430379747,0.2898550724637681,0.03669051550174274,0.7204034684126703
2007-10-31,Indiana Pacers,Washington Wizards,200.0,1.5,105.0,-125.0,229,9,10,10,1,0.4878048780487805,0.5555555555555556,0.04336043360433606,0.4675324675324675
2007-10-31,Toronto Raptors,Philadelphia 76ers,190.0,6.5,-305.0,255.0,203,9,10,10,1,0.7530864197530864,0.28169014084507044,0.034776560598156925,0.7277768442278608
2007-10-31,New Jersey Nets,Chicago Bulls,188.0,2.0,-125.0,105.0,215,9,10,10,1,0.5555555555555556,0.4878048780487805,0.04336043360433606,0.5324675324675325
2007-11-01,Miami Heat,Detroit Pistons,181.0,4.0,160.0,-190.0,171,-11,10,10,0,0.38461538461538464,0.6551724137931034,0.039787798408488007,0.3698979591836735
2007-11-01,Utah Jazz,Houston Rockets,191.0,3.5,-160.0,140.0,201,-11,2,2,0,0.6153846153846154,0.4166666666666667,0.03205128205128216,0.5962732919254659
